tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,senior_citizen,dependents,tech_support,streaming,churn
13,14.81,218.75,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
10,73.8,735.85,Month-to-month,Electronic check,DSL,0,1,0,0,1
68,81.01,5555.49,Month-to-month,Bank transfer,DSL,0,0,1,0,1
15,88.85,1265.51,One year,Bank transfer,DSL,0,1,0,0,0
21,77.79,1599.13,One year,Electronic check,None,0,0,0,1,1
54,71.88,3839.97,Month-to-month,Electronic check,DSL,0,1,0,1,0
16,76.83,1269.54,Two year,Credit card,DSL,0,1,1,0,1
60,78.16,4623.22,One year,Electronic check,Fiber optic,0,0,1,0,0
36,20.15,738.13,Two year,Bank transfer,DSL,0,0,0,0,1
49,29.14,1462.53,Month-to-month,Bank transfer,None,0,0,1,1,0
5,41.47,239.39,Two year,Bank transfer,None,0,1,0,0,1
44,112.07,4922.43,One year,Credit card,Fiber optic,0,0,1,1,1
55,61.37,3358.23,Two year,Electronic check,DSL,1,0,1,1,1
44,77.5,3439.39,Month-to-month,Electronic check,Fiber optic,0,0,0,1,1
51,116.53,5937.36,Month-to-month,Electronic check,DSL,0,0,1,0,1
40,21.05,824.83,Month-to-month,Electronic check,DSL,0,1,1,0,0
4,31.18,45.73,Month-to-month,Credit card,None,1,1,0,1,1
30,40.95,1122.74,Month-to-month,Credit card,Fiber optic,0,1,1,1,0
13,111.1,1431.73,Month-to-month,Electronic check,DSL,0,1,1,1,1
30,88.98,2651.9,Month-to-month,Credit card,Fiber optic,0,1,0,0,1
9,24.36,250.11,Month-to-month,Electronic check,Fiber optic,1,0,1,1,1
55,17.81,1039.22,One year,Bank transfer,DSL,0,0,1,0,0
39,28.7,1134.25,Month-to-month,Electronic check,None,0,0,0,0,0
71,110.72,7881.37,Two year,Electronic check,DSL,0,1,1,1,1
22,56.32,1256.25,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
45,105.67,4841.32,Month-to-month,Electronic check,None,0,0,1,0,0
8,103.13,858.81,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
70,116.31,8156.94,Month-to-month,Electronic check,Fiber optic,0,0,0,1,0
53,69.65,3690.68,Month-to-month,Electronic check,DSL,0,1,1,1,1
42,40.07,1721.47,One year,Bank transfer,DSL,1,1,0,1,0
30,66.59,1940.41,Month-to-month,Electronic check,None,0,0,1,1,0
27,108.26,2897.93,Month-to-month,Electronic check,Fiber optic,0,1,0,0,0
65,114.28,7376.68,Month-to-month,Electronic check,Fiber optic,1,0,1,0,1
63,53.75,3345.17,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
13,63.58,910.74,Month-to-month,Bank transfer,Fiber optic,0,1,1,1,1
7,97.77,744.58,One year,Electronic check,DSL,0,1,0,1,1
35,53.67,1946.21,Month-to-month,Electronic check,DSL,0,1,0,0,0
60,36.36,2198.81,Month-to-month,Bank transfer,DSL,0,1,0,0,0
18,40.73,698.89,Month-to-month,Electronic check,Fiber optic,0,0,0,1,1
6,62.81,348.8,Month-to-month,Credit card,Fiber optic,1,1,0,1,1
50,36.22,1728.45,One year,Bank transfer,Fiber optic,0,1,1,0,1
55,94.11,5057.75,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
55,83.39,4599.48,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
48,112.59,5368.28,Month-to-month,Electronic check,Fiber optic,0,0,1,0,0
38,92.15,3476.5,Two year,Electronic check,DSL,0,0,1,1,0
22,59.86,1384.09,One year,Credit card,DSL,0,1,1,1,0
5,30.09,183.8,Month-to-month,Electronic check,DSL,1,0,1,1,0
7,35.88,271.96,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
31,107.56,3272.27,Month-to-month,Bank transfer,Fiber optic,0,0,0,1,0
57,79.92,4573.04,Month-to-month,Bank transfer,Fiber optic,0,0,0,0,1
52,21.76,1086.51,One year,Credit card,None,0,0,0,0,1
56,64.98,3590.52,Two year,Bank transfer,DSL,1,1,0,0,0
13,94.29,1156.9,Month-to-month,Bank transfer,DSL,0,1,1,0,0
37,98.53,3624.45,One year,Electronic check,Fiber optic,0,0,1,1,1
59,102.33,6137.79,One year,Electronic check,Fiber optic,0,0,1,0,0
42,110.21,4536.85,Month-to-month,Bank transfer,None,0,1,0,0,1
16,63.05,985.17,Two year,Bank transfer,DSL,0,0,1,0,0
44,83.4,3640.4,Month-to-month,Bank transfer,None,0,0,1,0,1
60,18.07,1130.78,Month-to-month,Electronic check,Fiber optic,0,0,0,0,0
64,82.78,5272.34,One year,Electronic check,DSL,0,1,0,0,0
29,66.61,1940.31,Month-to-month,Credit card,Fiber optic,0,1,1,0,0
17,33.44,556.39,Two year,Bank transfer,DSL,1,1,0,0,1
6,37.82,161.73,One year,Electronic check,Fiber optic,1,1,0,0,0
36,87.85,3152.56,Month-to-month,Credit card,Fiber optic,0,0,0,0,1
33,34.85,1104.33,One year,Electronic check,Fiber optic,0,0,0,1,0
34,47.7,1634.72,Two year,Electronic check,None,1,0,0,1,1
46,51.46,2417.96,Month-to-month,Bank transfer,None,0,1,1,1,1
41,93.7,3803.07,Month-to-month,Electronic check,None,0,0,1,0,1
15,31.19,473.06,One year,Bank transfer,Fiber optic,0,0,1,1,1
46,18.71,811.41,Month-to-month,Electronic check,Fiber optic,0,1,0,0,0
43,30.17,1278.63,Month-to-month,Credit card,DSL,1,0,1,0,0
35,88.38,3080.31,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
56,15.55,916.71,One year,Credit card,Fiber optic,0,0,0,0,1
19,70.98,1410.65,Two year,Electronic check,DSL,0,1,0,1,0
10,65.46,654.54,Two year,Bank transfer,DSL,0,0,1,0,0
14,51.16,686.42,Month-to-month,Electronic check,DSL,0,1,1,1,1
44,48.21,2125.71,One year,Electronic check,Fiber optic,0,1,0,1,1
2,69.25,190.4,One year,Bank transfer,Fiber optic,0,0,1,0,0
32,16.69,611.3,Month-to-month,Electronic check,None,0,1,1,1,0
15,45.52,613.65,Month-to-month,Electronic check,DSL,0,0,1,0,1
49,55.81,2682.04,Month-to-month,Electronic check,Fiber optic,0,0,0,0,0
26,25.57,724.59,Month-to-month,Bank transfer,Fiber optic,0,1,0,0,0
34,67.71,2329.5,Two year,Bank transfer,DSL,0,0,0,1,0
65,44.04,2961.29,Two year,Bank transfer,DSL,0,0,1,1,0
59,17.22,1017.18,Month-to-month,Bank transfer,Fiber optic,0,0,1,1,0
11,24.09,232.32,Month-to-month,Electronic check,None,0,1,1,0,0
53,46.06,2437.33,Month-to-month,Bank transfer,None,0,1,0,0,0
28,82.8,2373.07,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
29,98.03,2797.84,One year,Bank transfer,Fiber optic,0,0,1,1,0
9,63.48,612.98,Month-to-month,Electronic check,None,0,0,1,0,1
45,15.14,741.73,Month-to-month,Credit card,Fiber optic,0,0,0,0,0
52,76.77,4024.54,Month-to-month,Bank transfer,DSL,1,0,1,0,0
55,109.59,5984.98,Month-to-month,Credit card,Fiber optic,0,0,0,0,1
43,15.67,734.17,Month-to-month,Credit card,Fiber optic,0,0,1,0,0
8,48.25,370.02,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
16,11.85,200.51,Month-to-month,Credit card,DSL,0,0,1,0,0
1,73.5,80.18,Two year,Electronic check,DSL,0,1,1,0,1
49,21.47,1133.23,Two year,Electronic check,Fiber optic,0,0,0,1,0
65,113.5,7346.83,Month-to-month,Electronic check,DSL,0,1,0,1,0
45,54.81,2488.93,Month-to-month,Electronic check,DSL,0,1,0,0,0
10,78.35,803.97,Two year,Electronic check,DSL,0,0,0,0,1
47,46.16,2189.2,One year,Electronic check,Fiber optic,0,0,1,0,1
57,46.95,2636.75,Month-to-month,Bank transfer,DSL,0,1,0,0,1
49,11.27,490.29,Two year,Credit card,Fiber optic,0,0,0,1,0
44,105.33,4644.59,Month-to-month,Electronic check,DSL,0,1,1,0,1
6,39.67,314.7,Month-to-month,Credit card,DSL,0,1,1,1,0
22,37.32,813.91,One year,Bank transfer,None,1,0,1,0,1
17,49.59,905.08,Month-to-month,Electronic check,Fiber optic,1,0,1,0,1
12,30.25,332.53,One year,Electronic check,Fiber optic,0,0,1,0,0
33,44.36,1487.82,Month-to-month,Electronic check,None,0,0,0,1,0
41,40.92,1695.76,Month-to-month,Credit card,Fiber optic,0,0,0,0,1
37,117.25,4311.97,Month-to-month,Electronic check,DSL,0,0,1,0,1
70,106.39,7417.45,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
29,41.06,1160.28,Month-to-month,Bank transfer,Fiber optic,1,0,0,0,1
50,102.31,5084.9,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
62,14.19,822.21,Month-to-month,Electronic check,Fiber optic,0,1,0,0,0
53,72.55,3908.97,Month-to-month,Bank transfer,None,0,0,1,0,0
8,104.99,843.58,Month-to-month,Credit card,Fiber optic,1,0,0,0,1
59,33.86,2024.75,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
51,27.7,1344.73,One year,Bank transfer,DSL,0,1,0,0,1
49,97.35,4782.16,Month-to-month,Bank transfer,Fiber optic,0,0,0,1,1
48,81.86,3890.65,Month-to-month,Electronic check,Fiber optic,1,1,0,0,0
63,117.16,7311.03,Month-to-month,Credit card,None,0,0,1,0,1
25,27.47,721.06,Month-to-month,Credit card,DSL,0,0,0,1,1
68,26.33,1798.12,One year,Credit card,None,0,0,1,1,0
8,16.09,39.31,Month-to-month,Credit card,Fiber optic,0,1,0,1,0
50,45.67,2250.52,Two year,Electronic check,None,0,0,1,0,0
33,15.25,457.26,Month-to-month,Credit card,DSL,0,0,1,0,0
34,77.54,2568.5,Month-to-month,Electronic check,DSL,1,0,0,0,0
69,19.45,1250.24,One year,Bank transfer,None,0,1,1,1,0
62,59.97,3647.55,Month-to-month,Electronic check,None,0,0,0,0,0
44,66.66,2911.21,Month-to-month,Credit card,None,0,1,1,1,1
17,19.5,378.51,Month-to-month,Electronic check,Fiber optic,0,0,0,1,1
27,86.11,2428.78,Two year,Bank transfer,DSL,0,1,0,0,1
9,118.96,1116.17,Month-to-month,Electronic check,None,0,0,0,1,1
53,52.82,2778.02,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
23,66.85,1492.43,Month-to-month,Electronic check,DSL,1,1,0,1,1
57,51.28,2883.15,One year,Electronic check,DSL,1,0,1,1,0
54,117.78,6361.27,Two year,Credit card,DSL,0,1,0,0,1
35,103.55,3548.5,Month-to-month,Credit card,DSL,0,0,1,0,0
13,116.56,1379.61,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
5,52.51,316.05,Month-to-month,Electronic check,Fiber optic,0,0,1,1,1
45,44.8,2030.61,One year,Credit card,Fiber optic,0,0,0,0,0
56,11.78,620.03,Two year,Electronic check,DSL,1,1,1,1,0
21,18.45,479.65,Two year,Credit card,Fiber optic,1,0,0,1,0
44,115.2,5045.26,Month-to-month,Bank transfer,Fiber optic,0,1,0,1,1
50,74.28,3689.7,Month-to-month,Electronic check,Fiber optic,0,0,0,1,0
19,59.07,1182.66,One year,Credit card,DSL,0,1,1,0,1
57,27.36,1464.62,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
22,113.18,2566.7,Two year,Bank transfer,DSL,0,0,0,0,0
51,14.33,752.33,Month-to-month,Electronic check,DSL,1,1,0,0,1
23,81.34,1751.22,Month-to-month,Credit card,Fiber optic,0,0,1,0,0
19,75.88,1422.78,Month-to-month,Bank transfer,DSL,0,1,0,0,0
70,90.43,6281.26,Two year,Credit card,Fiber optic,0,0,1,0,0
6,91.81,610.47,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
6,84.19,501.44,Two year,Bank transfer,None,1,0,1,0,1
71,70.88,5069.58,Month-to-month,Credit card,DSL,0,0,0,1,1
30,57.7,1772.3,One year,Bank transfer,DSL,0,1,0,0,0
17,98.2,1698.42,Month-to-month,Electronic check,None,0,0,0,0,1
43,24.61,1000.15,Two year,Credit card,Fiber optic,0,0,0,0,0
47,41.07,1908.58,Two year,Credit card,Fiber optic,0,0,0,0,0
69,96.0,6622.74,Two year,Bank transfer,DSL,0,1,0,0,1
67,107.8,7234.65,Month-to-month,Electronic check,Fiber optic,0,0,0,0,0
13,82.84,1075.81,Month-to-month,Bank transfer,None,0,1,1,1,0
55,15.49,872.12,Two year,Electronic check,None,1,0,1,0,0
56,101.35,5590.76,Month-to-month,Bank transfer,DSL,0,0,0,0,0
17,116.53,1963.68,Month-to-month,Bank transfer,None,1,1,0,0,1
6,60.64,264.64,Month-to-month,Bank transfer,Fiber optic,0,1,1,1,0
45,52.94,2443.46,Two year,Electronic check,DSL,0,0,0,0,1
56,48.75,2704.76,Month-to-month,Bank transfer,DSL,0,0,0,1,0
40,76.72,3155.22,Month-to-month,Credit card,DSL,0,1,0,0,0
71,28.67,2049.17,Month-to-month,Credit card,DSL,0,1,1,0,0
63,24.81,1559.17,Month-to-month,Credit card,None,0,0,1,0,0
3,118.99,409.16,One year,Bank transfer,DSL,0,0,0,1,1
38,65.11,2548.24,Month-to-month,Electronic check,Fiber optic,1,0,0,0,1
47,66.62,3132.74,One year,Bank transfer,Fiber optic,0,1,1,1,0
10,43.15,325.4,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
36,14.91,524.11,Month-to-month,Credit card,Fiber optic,0,0,0,1,0
16,17.1,320.08,Month-to-month,Electronic check,DSL,0,1,1,1,0
21,16.48,334.64,Month-to-month,Bank transfer,DSL,0,0,0,0,0
33,87.34,2851.13,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
22,95.77,2027.8,Month-to-month,Electronic check,DSL,0,0,0,0,1
71,114.64,8136.12,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
1,117.87,94.71,One year,Electronic check,Fiber optic,0,1,1,1,1
34,26.63,875.92,Month-to-month,Bank transfer,DSL,0,0,0,1,1
22,11.66,244.66,Month-to-month,Electronic check,DSL,0,0,0,0,0
67,85.28,5655.69,Two year,Bank transfer,DSL,1,1,1,1,0
12,42.13,481.37,Month-to-month,Bank transfer,Fiber optic,0,1,0,1,1
48,111.48,5387.74,Month-to-month,Electronic check,None,0,1,0,1,0
12,63.64,671.66,Month-to-month,Credit card,DSL,0,0,0,0,1
37,58.21,2163.1,Month-to-month,Credit card,None,0,0,1,0,0
44,56.26,2476.47,One year,Bank transfer,None,0,1,1,0,1
54,43.77,2402.7,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
8,72.04,630.91,Month-to-month,Electronic check,DSL,0,1,0,1,1
22,30.33,623.07,One year,Electronic check,Fiber optic,0,1,0,0,0
20,117.49,2310.83,Month-to-month,Electronic check,DSL,1,0,0,0,1
46,98.72,4498.93,One year,Bank transfer,None,1,1,1,0,0
51,103.87,5288.37,Month-to-month,Electronic check,DSL,0,0,1,1,0
34,114.05,3927.8,One year,Electronic check,Fiber optic,0,0,0,0,0
9,85.1,732.13,Month-to-month,Credit card,DSL,0,0,1,0,0
19,109.2,2135.23,Month-to-month,Credit card,None,0,0,0,0,1
60,91.23,5557.05,Month-to-month,Bank transfer,None,1,1,1,0,1
1,62.16,50.52,Month-to-month,Bank transfer,None,0,0,0,0,1
14,12.31,159.26,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
25,66.69,1695.69,Month-to-month,Electronic check,None,1,0,0,0,1
13,69.34,984.81,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
50,91.0,4519.22,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
68,105.57,7230.15,Two year,Bank transfer,Fiber optic,0,1,1,0,0
2,79.16,193.21,Two year,Electronic check,Fiber optic,0,1,1,0,1
38,19.59,753.78,One year,Bank transfer,Fiber optic,0,1,0,0,1
38,20.08,845.79,Month-to-month,Electronic check,DSL,0,1,0,1,1
55,105.81,5803.34,Month-to-month,Electronic check,Fiber optic,0,0,0,0,0
44,106.9,4782.29,Month-to-month,Credit card,Fiber optic,0,1,1,1,1
51,54.06,2746.44,Month-to-month,Electronic check,Fiber optic,0,0,0,1,0
67,17.51,1247.89,One year,Electronic check,DSL,0,1,0,0,0
9,21.81,200.87,Month-to-month,Electronic check,DSL,0,0,1,0,1
63,22.58,1416.78,Month-to-month,Bank transfer,DSL,0,1,0,0,0
58,110.51,6417.34,One year,Electronic check,None,0,0,1,0,0
49,54.7,2619.8,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
33,61.01,2051.94,One year,Electronic check,None,0,0,1,0,1
67,100.09,6775.17,Month-to-month,Credit card,DSL,1,0,0,1,0
23,36.77,865.42,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
68,68.59,4666.63,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
42,73.61,3092.05,Two year,Bank transfer,Fiber optic,0,0,1,1,0
29,55.66,1527.54,Month-to-month,Bank transfer,Fiber optic,0,0,0,0,0
54,23.26,1282.51,Two year,Electronic check,DSL,0,0,0,0,0
46,56.62,2660.62,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
42,22.32,979.82,Month-to-month,Electronic check,Fiber optic,0,0,1,0,0
37,44.92,1656.57,Two year,Bank transfer,Fiber optic,1,0,1,1,0
41,54.04,2212.96,Month-to-month,Bank transfer,DSL,0,1,0,1,0
13,30.94,412.31,Month-to-month,Credit card,DSL,0,1,0,0,1
37,119.71,4508.06,Month-to-month,Bank transfer,DSL,0,0,1,0,1
70,85.89,5911.83,Two year,Electronic check,DSL,0,0,0,1,0
60,112.46,6696.05,Month-to-month,Electronic check,None,0,1,0,0,1
4,112.52,344.9,One year,Credit card,Fiber optic,0,0,0,0,1
38,41.56,1610.5,One year,Bank transfer,Fiber optic,0,1,1,0,0
47,25.95,1195.01,Month-to-month,Electronic check,DSL,0,0,0,0,0
15,119.09,1830.9,One year,Credit card,Fiber optic,1,0,1,1,0
20,66.12,1316.4,Month-to-month,Electronic check,Fiber optic,0,1,0,0,0
51,84.47,4307.25,One year,Electronic check,DSL,0,0,1,1,0
38,105.31,4068.25,Month-to-month,Electronic check,DSL,0,0,1,1,1
58,47.39,2791.11,Month-to-month,Bank transfer,Fiber optic,0,1,0,1,0
70,75.15,5230.4,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1
12,42.89,590.38,Month-to-month,Credit card,None,1,0,0,0,1
27,33.69,924.8,Month-to-month,Credit card,None,0,1,1,0,1
35,13.79,494.87,One year,Electronic check,None,0,0,0,0,1
42,35.93,1489.79,Month-to-month,Electronic check,DSL,0,1,1,0,1
35,37.43,1233.35,Month-to-month,Electronic check,Fiber optic,1,0,1,0,1
64,92.19,5849.23,One year,Bank transfer,DSL,0,1,0,0,0
69,66.79,4564.47,Month-to-month,Bank transfer,Fiber optic,0,0,0,1,0
68,95.04,6471.39,Month-to-month,Electronic check,DSL,0,0,1,1,0
5,41.49,269.95,Month-to-month,Bank transfer,Fiber optic,0,1,0,1,1
8,33.42,268.14,One year,Bank transfer,DSL,1,0,1,0,0
59,73.58,4348.96,Two year,Bank transfer,Fiber optic,1,1,1,1,0
3,39.83,15.24,Month-to-month,Electronic check,Fiber optic,0,0,1,1,0
40,92.92,3689.75,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
57,52.01,2975.06,Two year,Electronic check,Fiber optic,0,1,0,0,0
5,40.88,160.17,One year,Electronic check,DSL,0,1,1,0,0
1,92.88,22.33,Month-to-month,Bank transfer,None,0,0,1,1,0
53,30.77,1643.16,One year,Electronic check,None,0,0,1,0,1
21,89.73,1910.58,Month-to-month,Bank transfer,Fiber optic,0,1,0,0,1
32,52.88,1624.82,Month-to-month,Electronic check,None,0,1,0,1,1
50,19.36,999.77,Month-to-month,Electronic check,Fiber optic,0,0,1,0,0
23,79.05,1797.75,Month-to-month,Electronic check,Fiber optic,0,1,1,0,1
31,77.02,2413.97,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
65,20.99,1326.33,Month-to-month,Credit card,DSL,1,1,1,1,0
35,60.61,2166.56,One year,Credit card,DSL,0,0,1,1,0
21,60.9,1294.09,Month-to-month,Electronic check,Fiber optic,0,0,1,0,0
18,88.75,1538.65,Two year,Electronic check,Fiber optic,0,0,1,0,1
11,31.63,399.35,Two year,Electronic check,Fiber optic,0,1,1,0,1
1,71.57,-21.66,One year,Bank transfer,None,0,1,0,1,1
1,119.16,92.42,Two year,Credit card,Fiber optic,1,1,1,1,1
36,11.72,539.59,Month-to-month,Bank transfer,None,0,1,0,0,1
29,88.83,2662.36,Month-to-month,Credit card,Fiber optic,0,1,1,1,0
42,48.46,2034.23,Month-to-month,Credit card,Fiber optic,0,1,1,0,0
36,63.38,2310.29,Month-to-month,Electronic check,None,1,0,1,0,1
46,41.03,1842.1,Month-to-month,Electronic check,Fiber optic,1,0,1,1,1
61,60.61,3781.03,One year,Credit card,DSL,0,1,0,0,0
12,64.52,731.1,Month-to-month,Electronic check,Fiber optic,0,0,0,1,1
12,111.2,1363.22,Month-to-month,Electronic check,None,0,1,0,1,1
23,106.06,2475.71,Month-to-month,Credit card,DSL,0,0,1,1,1
29,112.34,3256.57,Month-to-month,Bank transfer,DSL,0,0,1,1,0
37,116.46,4289.1,Two year,Electronic check,Fiber optic,0,0,0,0,0
67,53.41,3574.54,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1
55,95.89,5291.14,One year,Credit card,Fiber optic,0,0,1,0,0
43,107.9,4666.0,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
9,22.87,136.8,Two year,Electronic check,DSL,1,1,1,0,1
39,89.88,3517.36,One year,Bank transfer,None,0,0,0,1,0
18,73.47,1308.67,Month-to-month,Credit card,DSL,0,1,0,1,1
17,31.86,553.7,Two year,Electronic check,DSL,0,1,1,0,0
57,79.47,4572.29,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
5,85.69,417.95,Two year,Credit card,Fiber optic,0,0,1,0,1
47,81.91,3863.29,Month-to-month,Bank transfer,Fiber optic,0,1,1,0,1
68,10.67,707.43,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
47,111.73,5289.35,Two year,Electronic check,Fiber optic,0,0,0,1,0
29,48.65,1451.94,Month-to-month,Bank transfer,DSL,0,1,0,1,0
45,98.23,4421.47,Month-to-month,Bank transfer,Fiber optic,0,1,0,1,0
37,26.97,1069.13,Two year,Bank transfer,Fiber optic,0,1,1,0,0
32,76.24,2440.75,Two year,Bank transfer,Fiber optic,0,1,0,0,0
49,16.38,801.61,One year,Electronic check,DSL,0,0,1,0,1
41,71.26,2996.76,One year,Credit card,Fiber optic,1,1,1,1,0
22,81.22,1823.59,One year,Electronic check,DSL,0,0,1,0,1
60,52.61,3095.73,Month-to-month,Electronic check,Fiber optic,0,0,0,1,0
