order_id,order_date,customer_id,country,category,product,price,quantity,discount,returned,revenue
O101374,2023-01-07,C1924,Australia,Grocery,Cereal,39.76,2,0.11,0,70.77
O101496,2023-01-07,C1913,India,Beauty,Serum,42.93,1,0.13,0,37.35
O102722,2023-01-07,C1049,Canada,Home,Blender,245.59,2,0.07,0,456.8
O101317,2023-01-07,C1039,Canada,Grocery,Pasta,38.36,4,0.09,0,139.63
O101911,2023-01-07,C1607,Germany,Clothing,Jacket,104.9,4,0.12,0,369.25
O100710,2023-01-07,C1457,USA,Home,Vacuum,170.4,4,0.09,0,620.26
O102393,2023-01-08,C1336,Canada,Grocery,Pasta,8.79,3,0.13,0,22.94
O100991,2023-01-08,C1775,India,Clothing,T-Shirt,111.33,3,0.07,0,310.61
O102050,2023-01-08,C1041,Germany,Home,Vacuum,238.54,2,0.08,0,438.91
O101645,2023-01-08,C1058,Canada,Electronics,Phone,1121.43,1,0.07,0,1042.93
O100554,2023-01-08,C1510,India,Clothing,T-Shirt,70.93,2,0.1,0,127.67
O102565,2023-01-08,C1605,India,Electronics,Smartwatch,891.83,3,0.01,0,2648.74
O100697,2023-01-08,C1282,India,Home,Vacuum,31.51,3,0.1,0,85.08
O101482,2023-01-09,C1687,India,Grocery,Cereal,34.58,3,0.13,1,90.25
O100473,2023-01-09,C1461,India,Grocery,Pasta,37.86,4,0.03,0,146.9
O100218,2023-01-09,C1025,India,Electronics,Phone,620.59,2,0.11,0,1104.65
O102037,2023-01-10,C1139,India,Clothing,T-Shirt,21.83,4,0.0,0,87.32
O102950,2023-01-10,C1526,USA,Clothing,Shoes,47.24,2,0.1,0,85.03
O100573,2023-01-10,C1495,India,Beauty,Perfume,43.16,3,0.02,0,126.89
O101588,2023-01-10,C1660,Germany,Grocery,Olive Oil,28.32,3,0.17,0,70.52
O101775,2023-01-10,C1636,India,Grocery,Coffee,26.82,3,0.0,0,80.46
O100798,2023-01-10,C1201,India,Clothing,Jacket,42.16,3,0.09,0,115.1
O102175,2023-01-10,C1282,India,Beauty,Serum,73.93,1,0.06,0,69.49
O101086,2023-01-11,C1889,USA,Beauty,Serum,72.37,1,0.1,0,65.13
O101230,2023-01-11,C1820,USA,Electronics,Smartwatch,815.95,3,0.01,0,2423.37
O100888,2023-01-11,C1024,Germany,Home,Blender,77.15,2,0.17,0,128.07
O101451,2023-01-11,C1436,UK,Home,Lamp,230.66,1,0.15,0,196.06
O100549,2023-01-12,C1814,India,Beauty,Perfume,35.45,4,0.0,0,141.8
O101713,2023-01-12,C1824,India,Beauty,Serum,13.97,1,0.04,0,13.41
O101507,2023-01-12,C1275,India,Home,Blender,117.61,1,0.01,0,116.43
O101133,2023-01-12,C1652,Canada,Clothing,Jeans,39.88,2,0.0,0,79.76
O101940,2023-01-12,C1724,India,Clothing,T-Shirt,116.1,1,0.0,0,116.1
O101622,2023-01-12,C1850,USA,Grocery,Coffee,28.37,2,0.02,0,55.61
O100406,2023-01-12,C1752,UK,Grocery,Cereal,8.74,2,0.08,0,16.08
O102968,2023-01-12,C1042,Australia,Electronics,Smartwatch,320.24,3,0.1,0,864.65
O101858,2023-01-12,C1843,India,Grocery,Cereal,33.93,3,0.07,0,94.66
O101900,2023-01-12,C1219,Australia,Home,Blender,145.11,1,0.03,0,140.76
O102188,2023-01-12,C1350,India,Home,Vacuum,86.04,4,0.15,0,292.54
O102181,2023-01-13,C1104,USA,Beauty,Perfume,64.0,2,0.11,0,113.92
O102001,2023-01-13,C1170,UK,Home,Lamp,36.04,1,0.12,1,31.72
O100801,2023-01-13,C1517,Canada,Clothing,Shoes,44.65,2,0.0,0,89.3
O102923,2023-01-13,C1293,India,Grocery,Cereal,23.49,3,0.07,0,65.54
O102856,2023-01-13,C1321,UK,Grocery,Coffee,33.14,1,0.09,0,30.16
O101570,2023-01-14,C1572,Australia,Electronics,Laptop,612.34,2,0.01,0,1212.43
O100044,2023-01-14,C1099,India,Grocery,Pasta,22.71,2,0.01,1,44.97
O102956,2023-01-14,C1555,Germany,Grocery,Coffee,32.69,4,0.08,0,120.3
O102190,2023-01-14,C1851,Germany,Grocery,Cereal,31.72,1,0.14,0,27.28
O101506,2023-01-14,C1026,USA,Electronics,Laptop,728.06,1,0.01,0,720.78
O100876,2023-01-15,C1078,UK,Clothing,T-Shirt,97.59,3,0.04,0,281.06
O100856,2023-01-15,C1777,India,Clothing,T-Shirt,102.38,1,0.03,0,99.31
O100716,2023-01-15,C1150,India,Home,Blender,184.47,2,0.07,0,343.11
O100082,2023-01-15,C1226,India,Home,Lamp,234.26,4,0.09,0,852.71
O100116,2023-01-15,C1170,USA,Beauty,Perfume,23.08,1,0.07,0,21.46
O101184,2023-01-16,C1362,Canada,Electronics,Laptop,1113.58,3,0.15,1,2839.63
O101151,2023-01-16,C1661,USA,Clothing,Jeans,67.68,2,0.03,0,131.3
O102423,2023-01-16,C1750,Australia,Clothing,Jacket,87.31,3,0.18,0,214.78
O102545,2023-01-16,C1174,Germany,Home,Lamp,28.84,1,0.08,0,26.53
O100389,2023-01-16,C1875,USA,Grocery,Coffee,17.52,1,0.17,0,14.54
O100271,2023-01-17,C1293,India,Grocery,Olive Oil,29.03,3,0.05,0,82.74
O101129,2023-01-17,C1284,Australia,Electronics,Smartwatch,1082.06,1,0.03,0,1049.6
O101361,2023-01-17,C1354,USA,Grocery,Olive Oil,25.28,4,0.04,0,97.08
O101338,2023-01-17,C1347,Germany,Grocery,Cereal,37.67,1,0.06,0,35.41
O101064,2023-01-17,C1241,India,Grocery,Coffee,14.39,1,0.05,0,13.67
O102027,2023-01-17,C1366,UK,Electronics,Headphones,1030.0,1,0.13,0,896.1
O102059,2023-01-17,C1415,India,Electronics,Smartwatch,448.99,2,0.11,0,799.2
O101112,2023-01-17,C1038,USA,Grocery,Olive Oil,19.36,1,0.02,0,18.97
O100294,2023-01-18,C1330,India,Beauty,Perfume,25.36,4,0.03,0,98.4
O100971,2023-01-18,C1303,India,Electronics,Laptop,842.7,3,0.02,0,2477.54
O102874,2023-01-19,C1635,UK,Home,Chair,123.97,1,0.0,0,123.97
O100439,2023-01-19,C1314,India,Grocery,Coffee,37.57,1,0.06,0,35.32
O101686,2023-01-19,C1143,India,Beauty,Moisturizer,71.21,2,0.04,0,136.72
O102237,2023-01-19,C1090,India,Grocery,Cereal,22.32,3,0.2,0,53.57
O102639,2023-01-19,C1464,USA,Grocery,Cereal,15.35,4,0.09,0,55.87
O100970,2023-01-19,C1605,UK,Beauty,Shampoo,83.46,3,0.12,0,220.33
O102152,2023-01-19,C1374,India,Electronics,Laptop,949.82,1,0.03,1,921.33
O101253,2023-01-20,C1832,UK,Beauty,Shampoo,34.37,2,0.15,0,58.43
O102827,2023-01-20,C1792,Canada,Electronics,Laptop,422.96,4,0.14,0,1454.98
O102212,2023-01-20,C1445,USA,Electronics,Phone,1165.79,2,0.05,0,2215.0
O102194,2023-01-20,C1086,India,Grocery,Cereal,21.11,4,0.08,0,77.68
O102202,2023-01-20,C1669,Germany,Electronics,Phone,1061.4,3,0.06,0,2993.15
O101612,2023-01-20,C1939,USA,Grocery,Cereal,33.01,3,0.07,0,92.1
O100313,2023-01-20,C1331,India,Clothing,T-Shirt,42.55,3,0.05,0,121.27
O100005,2023-01-21,C1928,Germany,Grocery,Olive Oil,22.94,1,0.11,0,20.42
O102022,2023-01-21,C1416,India,Clothing,Jacket,47.4,4,0.09,0,172.54
O101724,2023-01-21,C1630,Australia,Home,Lamp,134.34,2,0.09,0,244.5
O102319,2023-01-21,C1693,Canada,Clothing,Shoes,110.14,2,0.09,0,200.45
O100039,2023-01-21,C1454,USA,Clothing,Jacket,110.13,2,0.08,0,202.64
O101399,2023-01-21,C1615,Canada,Grocery,Pasta,13.51,4,0.09,1,49.18
O101555,2023-01-21,C1207,Australia,Home,Blender,74.81,4,0.1,1,269.32
O101502,2023-01-22,C1892,Canada,Beauty,Serum,79.89,1,0.11,0,71.1
O102961,2023-01-22,C1371,India,Home,Lamp,126.74,1,0.08,0,116.6
O101394,2023-01-22,C1268,Germany,Home,Blender,187.39,1,0.04,0,179.89
O102350,2023-01-22,C1508,Australia,Beauty,Serum,25.48,3,0.1,0,68.8
O100253,2023-01-22,C1819,USA,Grocery,Coffee,8.87,3,0.0,0,26.61
O102861,2023-01-22,C1857,UK,Beauty,Serum,56.12,4,0.16,0,188.56
O101364,2023-01-22,C1703,India,Clothing,T-Shirt,67.99,4,0.13,0,236.61
O100025,2023-01-22,C1303,UK,Home,Vacuum,201.86,1,0.15,0,171.58
O102999,2023-01-23,C1600,India,Beauty,Moisturizer,34.43,2,0.02,0,67.48
O100892,2023-01-23,C1300,Australia,Electronics,Smartwatch,1007.66,2,0.0,0,2015.32
O102714,2023-01-23,C1115,USA,Electronics,Headphones,582.07,4,0.14,0,2002.32
O100596,2023-01-23,C1253,USA,Clothing,T-Shirt,49.73,1,0.07,0,46.25
O100841,2023-01-23,C1147,Canada,Beauty,Moisturizer,13.15,1,0.07,0,12.23
O102946,2023-01-23,C1316,India,Beauty,Moisturizer,73.92,4,0.12,0,260.2
O102153,2023-01-23,C1653,Australia,Beauty,Serum,63.32,2,0.15,0,107.64
O100381,2023-01-23,C1943,USA,Grocery,Coffee,20.13,4,0.02,1,78.91
O101532,2023-01-24,C1970,Canada,Electronics,Smartwatch,520.36,1,0.08,0,478.73
O100939,2023-01-25,C1169,Australia,Grocery,Pasta,33.97,2,0.14,0,58.43
O100730,2023-01-25,C1783,India,Electronics,Phone,785.65,4,0.12,0,2765.49
O101116,2023-01-25,C1260,Canada,Electronics,Laptop,688.49,1,0.07,0,640.3
O101932,2023-01-25,C1836,India,Beauty,Moisturizer,14.54,4,0.1,0,52.34
O100455,2023-01-25,C1650,India,Clothing,Shoes,59.95,1,0.03,0,58.15
O102884,2023-01-25,C1526,UK,Grocery,Pasta,29.92,1,0.06,0,28.12
O100695,2023-01-26,C1192,Canada,Grocery,Cereal,24.13,1,0.0,0,24.13
O102576,2023-01-26,C1098,USA,Beauty,Perfume,37.47,3,0.0,0,112.41
O101773,2023-01-26,C1048,Canada,Electronics,Smartwatch,1040.48,1,0.14,0,894.81
O102377,2023-01-26,C1387,Canada,Home,Vacuum,236.75,3,0.01,0,703.15
O100779,2023-01-26,C1525,India,Beauty,Serum,58.11,3,0.08,0,160.38
O100260,2023-01-27,C1421,India,Electronics,Headphones,833.2,3,0.11,0,2224.64
O101421,2023-01-27,C1790,Canada,Grocery,Olive Oil,7.21,3,0.12,0,19.03
O102932,2023-01-27,C1451,India,Clothing,Jeans,42.05,2,0.1,0,75.69
O101070,2023-01-27,C1594,UK,Electronics,Laptop,759.05,1,0.13,0,660.37
O100719,2023-01-28,C1021,India,Clothing,T-Shirt,107.31,4,0.0,0,429.24
O100099,2023-01-28,C1769,USA,Home,Lamp,36.13,3,0.09,1,98.63
O100703,2023-01-28,C1957,India,Home,Vacuum,121.93,2,0.02,0,238.98
O102339,2023-01-28,C1589,Germany,Clothing,Shoes,29.76,3,0.09,0,81.24
O101576,2023-01-28,C1854,USA,Home,Vacuum,97.37,3,0.16,0,245.37
O100136,2023-01-28,C1692,India,Home,Chair,53.79,3,0.03,0,156.53
O100908,2023-01-29,C1261,USA,Clothing,Shoes,52.01,3,0.13,0,135.75
O101055,2023-01-29,C1384,India,Clothing,Jacket,69.46,4,0.09,0,252.83
O102035,2023-01-29,C1799,India,Grocery,Olive Oil,6.74,3,0.02,0,19.82
O101375,2023-01-29,C1441,India,Home,Lamp,22.66,3,0.03,0,65.94
O101083,2023-01-29,C1276,Australia,Clothing,Jacket,103.35,4,0.12,0,363.79
O100485,2023-01-29,C1367,India,Grocery,Coffee,27.2,2,0.02,0,53.31
O101198,2023-01-29,C1945,Canada,Electronics,Laptop,955.55,1,0.1,0,860.0
O102155,2023-01-30,C1536,USA,Clothing,Jeans,57.84,1,0.09,0,52.63
O102962,2023-01-30,C1854,USA,Electronics,Phone,705.03,4,0.1,0,2538.11
O102705,2023-01-30,C1691,USA,Beauty,Serum,15.21,4,0.04,0,58.41
O102943,2023-01-31,C1336,Australia,Beauty,Shampoo,77.07,4,0.08,0,283.62
O101320,2023-01-31,C1573,USA,Electronics,Headphones,731.29,3,0.14,0,1886.73
O102743,2023-01-31,C1146,USA,Grocery,Olive Oil,15.39,4,0.12,0,54.17
O102364,2023-02-01,C1216,India,Clothing,Jeans,35.05,4,0.09,0,127.58
O100962,2023-02-01,C1945,Australia,Clothing,T-Shirt,119.43,4,0.07,0,444.28
O100249,2023-02-02,C1752,USA,Clothing,Shoes,30.13,1,0.05,0,28.62
O100102,2023-02-02,C1867,India,Clothing,T-Shirt,71.5,1,0.13,0,62.2
O101376,2023-02-02,C1400,UK,Electronics,Phone,569.63,3,0.0,0,1708.89
O100741,2023-02-03,C1125,India,Beauty,Perfume,14.34,3,0.01,0,42.59
O100609,2023-02-03,C1152,Canada,Electronics,Laptop,1178.85,2,0.12,0,2074.78
O101063,2023-02-03,C1020,USA,Clothing,Shoes,63.04,4,0.14,0,216.86
O100054,2023-02-04,C1981,India,Beauty,Perfume,64.62,4,0.18,0,211.95
O102561,2023-02-04,C1717,Germany,Home,Chair,22.38,4,0.08,0,82.36
O102550,2023-02-04,C1726,Australia,Beauty,Serum,14.2,4,0.07,0,52.82
O101525,2023-02-04,C1880,Australia,Home,Blender,139.6,3,0.07,0,389.48
O101616,2023-02-04,C1570,Canada,Electronics,Headphones,973.94,2,0.05,0,1850.49
O100410,2023-02-04,C1628,India,Grocery,Olive Oil,23.31,1,0.0,0,23.31
O102768,2023-02-04,C1015,UK,Home,Blender,166.01,1,0.09,0,151.07
O101761,2023-02-05,C1359,Australia,Electronics,Headphones,1062.23,1,0.09,0,966.63
O101822,2023-02-05,C1438,Germany,Home,Vacuum,142.73,4,0.15,0,485.28
O100128,2023-02-05,C1686,India,Electronics,Phone,591.14,3,0.12,0,1560.61
O100312,2023-02-05,C1445,Germany,Clothing,Shoes,54.12,4,0.1,0,194.83
O100429,2023-02-06,C1960,UK,Clothing,Shoes,62.36,4,0.12,1,219.51
O100216,2023-02-06,C1361,India,Home,Vacuum,230.26,3,0.06,1,649.33
O101286,2023-02-06,C1647,USA,Grocery,Pasta,17.38,2,0.1,0,31.28
O100280,2023-02-06,C1222,India,Electronics,Headphones,1042.84,3,0.08,0,2878.24
O101354,2023-02-06,C1428,India,Home,Chair,192.32,3,0.02,0,565.42
O101281,2023-02-07,C1434,USA,Clothing,Jeans,110.94,1,0.09,0,100.96
O100254,2023-02-07,C1360,UK,Electronics,Phone,1075.89,3,0.0,0,3227.67
O102209,2023-02-07,C1627,India,Beauty,Moisturizer,29.81,3,0.05,0,84.96
O101177,2023-02-08,C1146,India,Beauty,Serum,64.45,4,0.06,0,242.33
O101754,2023-02-08,C1637,Germany,Home,Lamp,83.19,2,0.1,0,149.74
O100848,2023-02-08,C1413,Australia,Clothing,T-Shirt,37.97,2,0.03,0,73.66
O100462,2023-02-08,C1882,UK,Clothing,Jeans,113.61,3,0.14,0,293.11
O101197,2023-02-08,C1924,Canada,Clothing,T-Shirt,117.72,4,0.03,0,456.75
O100306,2023-02-08,C1251,Australia,Clothing,T-Shirt,56.37,1,0.09,0,51.3
O101388,2023-02-08,C1469,Germany,Home,Lamp,51.49,3,0.18,0,126.67
O100720,2023-02-08,C1882,UK,Electronics,Laptop,1031.48,2,0.11,0,1836.03
O100506,2023-02-08,C1188,India,Electronics,Smartwatch,993.58,2,0.0,0,1987.16
O101117,2023-02-08,C1425,USA,Home,Chair,32.02,3,0.07,1,89.34
O101632,2023-02-08,C1725,India,Electronics,Headphones,525.89,2,0.09,0,957.12
O102120,2023-02-08,C1493,Canada,Electronics,Headphones,509.04,2,0.06,0,957.0
O101275,2023-02-09,C1692,UK,Grocery,Olive Oil,7.79,3,0.1,0,21.03
O101298,2023-02-09,C1048,India,Clothing,Jacket,53.06,1,0.08,0,48.82
O100764,2023-02-09,C1725,Australia,Beauty,Perfume,83.97,2,0.0,0,167.94
O101299,2023-02-09,C1684,India,Home,Chair,189.65,3,0.0,0,568.95
O102414,2023-02-09,C1163,USA,Beauty,Moisturizer,22.47,4,0.0,0,89.88
O101290,2023-02-09,C1750,USA,Electronics,Headphones,950.91,3,0.03,0,2767.15
O100080,2023-02-10,C1251,USA,Grocery,Cereal,31.62,4,0.08,0,116.36
O100561,2023-02-10,C1825,Canada,Clothing,Jacket,62.08,1,0.0,0,62.08
O102629,2023-02-10,C1941,Germany,Clothing,T-Shirt,47.19,4,0.09,0,171.77
O102712,2023-02-10,C1549,USA,Beauty,Serum,79.48,3,0.08,0,219.36
O102464,2023-02-10,C1881,India,Grocery,Olive Oil,35.31,4,0.12,0,124.29
O102665,2023-02-10,C1194,India,Clothing,T-Shirt,87.33,4,0.1,0,314.39
O101062,2023-02-10,C1859,India,Electronics,Smartwatch,417.79,1,0.03,0,405.26
O100098,2023-02-10,C1791,Canada,Beauty,Shampoo,57.23,1,0.05,0,54.37
O102539,2023-02-10,C1232,Germany,Grocery,Cereal,20.31,3,0.11,0,54.23
O101903,2023-02-11,C1450,India,Grocery,Olive Oil,13.8,3,0.13,0,36.02
O100834,2023-02-11,C1668,USA,Electronics,Headphones,385.54,4,0.17,0,1279.99
O100464,2023-02-11,C1108,Germany,Clothing,Jacket,71.19,3,0.06,0,200.76
O101115,2023-02-11,C1629,USA,Clothing,T-Shirt,19.33,3,0.06,0,54.51
O101060,2023-02-11,C1644,India,Home,Blender,147.58,1,0.06,0,138.73
O101947,2023-02-12,C1524,India,Electronics,Laptop,834.71,2,0.08,0,1535.87
O100402,2023-02-12,C1671,India,Electronics,Headphones,628.18,1,0.03,0,609.33
O101718,2023-02-12,C1733,UK,Home,Vacuum,24.43,4,0.07,0,90.88
O102054,2023-02-12,C1614,India,Clothing,Jeans,49.55,1,0.09,0,45.09
O102340,2023-02-12,C1428,UK,Home,Chair,220.03,2,0.1,1,396.05
O100658,2023-02-12,C1182,Australia,Home,Blender,37.1,2,0.1,0,66.78
O102381,2023-02-13,C1461,USA,Clothing,T-Shirt,96.14,3,0.03,0,279.77
O101128,2023-02-13,C1456,Canada,Electronics,Laptop,940.83,1,0.07,0,874.97
O102146,2023-02-13,C1366,USA,Beauty,Shampoo,30.49,3,0.07,0,85.07
O102908,2023-02-14,C1419,USA,Grocery,Olive Oil,36.65,3,0.03,0,106.65
O101335,2023-02-15,C1255,Canada,Electronics,Headphones,461.91,3,0.08,1,1274.87
O100276,2023-02-15,C1589,India,Home,Chair,92.31,2,0.11,0,164.31
O100680,2023-02-15,C1269,India,Beauty,Shampoo,80.39,2,0.07,0,149.53
O101461,2023-02-15,C1868,India,Home,Blender,23.58,1,0.12,0,20.75
O100538,2023-02-16,C1679,India,Home,Lamp,113.0,1,0.06,0,106.22
O100369,2023-02-16,C1155,India,Home,Blender,110.11,4,0.08,0,405.2
O100339,2023-02-16,C1929,USA,Clothing,Jacket,70.87,3,0.0,0,212.61
O100685,2023-02-16,C1727,Germany,Home,Blender,72.53,3,0.08,0,200.18
O101250,2023-02-16,C1072,India,Beauty,Serum,85.83,1,0.07,0,79.82
O100880,2023-02-16,C1559,India,Clothing,Jacket,58.72,2,0.09,0,106.87
O101149,2023-02-16,C1017,Australia,Home,Blender,195.92,4,0.13,0,681.8
O102253,2023-02-16,C1502,Germany,Clothing,T-Shirt,63.84,1,0.0,0,63.84
O102478,2023-02-16,C1951,USA,Home,Vacuum,162.61,1,0.14,0,139.84
O100103,2023-02-17,C1397,India,Beauty,Perfume,82.61,1,0.06,0,77.65
O100692,2023-02-17,C1944,USA,Beauty,Perfume,68.8,2,0.08,0,126.59
O102847,2023-02-17,C1753,India,Beauty,Shampoo,41.75,4,0.0,0,167.0
O102612,2023-02-18,C1075,Australia,Home,Chair,196.08,4,0.17,0,650.99
O101779,2023-02-18,C1100,Germany,Clothing,Jeans,41.82,3,0.1,0,112.91
O100269,2023-02-18,C1452,USA,Beauty,Perfume,73.76,2,0.08,0,135.72
O102691,2023-02-18,C1949,UK,Grocery,Olive Oil,38.88,4,0.14,0,133.75
O100948,2023-02-18,C1110,USA,Grocery,Coffee,34.76,2,0.1,0,62.57
O102273,2023-02-18,C1448,UK,Beauty,Shampoo,10.24,1,0.1,0,9.22
O102265,2023-02-19,C1236,Germany,Clothing,T-Shirt,46.16,3,0.1,0,124.63
O101783,2023-02-19,C1222,USA,Clothing,T-Shirt,15.11,3,0.04,0,43.52
O100999,2023-02-20,C1618,India,Grocery,Olive Oil,6.97,4,0.01,0,27.6
O100907,2023-02-20,C1799,Australia,Beauty,Perfume,64.99,2,0.06,0,122.18
O100670,2023-02-20,C1913,India,Clothing,T-Shirt,33.29,3,0.11,0,88.88
O100321,2023-02-20,C1869,India,Home,Vacuum,178.29,3,0.11,0,476.03
O100605,2023-02-20,C1835,India,Grocery,Coffee,31.54,2,0.11,0,56.14
O101730,2023-02-20,C1349,India,Grocery,Cereal,19.0,1,0.11,0,16.91
O100333,2023-02-22,C1272,USA,Electronics,Phone,342.59,2,0.17,0,568.7
O100075,2023-02-22,C1821,UK,Grocery,Coffee,14.88,3,0.04,0,42.85
O102959,2023-02-22,C1108,Germany,Grocery,Coffee,21.04,4,0.13,0,73.22
O101032,2023-02-22,C1511,UK,Clothing,Jacket,57.09,1,0.13,0,49.67
O101669,2023-02-22,C1586,USA,Grocery,Pasta,37.1,3,0.0,0,111.3
O102940,2023-02-22,C1709,UK,Beauty,Shampoo,85.02,3,0.08,0,234.66
O100177,2023-02-22,C1044,USA,Electronics,Laptop,374.4,1,0.12,1,329.47
O100654,2023-02-22,C1075,India,Home,Chair,161.73,2,0.07,0,300.82
O100620,2023-02-23,C1080,UK,Grocery,Olive Oil,26.33,1,0.1,0,23.7
O100995,2023-02-23,C1720,Germany,Grocery,Coffee,35.46,1,0.01,0,35.11
O101249,2023-02-23,C1667,India,Electronics,Smartwatch,537.56,2,0.08,0,989.11
O100225,2023-02-23,C1460,India,Home,Lamp,60.17,4,0.02,0,235.87
O100330,2023-02-23,C1570,USA,Home,Lamp,201.88,2,0.13,0,351.27
O102221,2023-02-24,C1974,UK,Clothing,Jacket,39.62,1,0.15,0,33.68
O101093,2023-02-24,C1543,India,Grocery,Pasta,37.87,3,0.18,0,93.16
O101857,2023-02-24,C1446,Canada,Grocery,Coffee,9.43,1,0.1,0,8.49
O100986,2023-02-24,C1869,Australia,Beauty,Moisturizer,48.29,2,0.12,0,84.99
O100981,2023-02-24,C1588,Germany,Beauty,Serum,88.97,3,0.1,0,240.22
O100689,2023-02-25,C1901,UK,Beauty,Serum,51.06,2,0.0,0,102.12
O101958,2023-02-25,C1931,UK,Grocery,Pasta,18.89,1,0.03,1,18.32
O100700,2023-02-25,C1524,India,Beauty,Moisturizer,74.72,3,0.14,0,192.78
O102211,2023-02-26,C1468,Australia,Grocery,Cereal,19.18,1,0.16,1,16.11
O102871,2023-02-26,C1577,India,Electronics,Headphones,792.11,2,0.14,0,1362.43
O102352,2023-02-26,C1268,India,Home,Chair,27.14,4,0.04,0,104.22
O100344,2023-02-27,C1007,Canada,Home,Blender,233.33,1,0.09,0,212.33
O100350,2023-02-27,C1832,UK,Clothing,Jeans,79.77,1,0.0,0,79.77
O102376,2023-02-27,C1145,UK,Clothing,Shoes,27.85,2,0.06,0,52.36
O100511,2023-02-27,C1535,India,Clothing,Jeans,113.14,1,0.07,0,105.22
O100526,2023-02-27,C1180,Germany,Electronics,Headphones,1058.86,2,0.03,0,2054.19
O101838,2023-02-27,C1105,Australia,Electronics,Headphones,989.9,1,0.08,0,910.71
O102773,2023-02-28,C1106,Australia,Clothing,T-Shirt,25.38,2,0.1,0,45.68
O102965,2023-02-28,C1890,Canada,Home,Chair,37.85,1,0.15,0,32.17
O101039,2023-02-28,C1255,India,Clothing,Jacket,116.41,1,0.1,0,104.77
O101619,2023-02-28,C1181,India,Grocery,Coffee,29.96,1,0.05,0,28.46
O100029,2023-02-28,C1354,UK,Beauty,Perfume,40.1,2,0.0,0,80.2
O101524,2023-02-28,C1780,India,Grocery,Olive Oil,5.76,2,0.05,1,10.94
O101416,2023-03-01,C1513,Australia,Electronics,Headphones,947.09,1,0.06,0,890.26
O101950,2023-03-01,C1937,USA,Home,Blender,68.8,4,0.14,0,236.67
O102228,2023-03-01,C1900,UK,Home,Chair,142.22,2,0.13,0,247.46
O101785,2023-03-01,C1959,Germany,Beauty,Perfume,32.72,2,0.05,0,62.17
O101114,2023-03-02,C1424,India,Home,Chair,228.38,4,0.06,0,858.71
O100669,2023-03-02,C1451,Canada,Grocery,Pasta,30.27,3,0.03,0,88.09
O101224,2023-03-02,C1304,UK,Grocery,Coffee,12.01,4,0.2,0,38.43
O100435,2023-03-03,C1403,Canada,Grocery,Pasta,10.53,3,0.03,0,30.64
O101231,2023-03-03,C1192,Australia,Clothing,T-Shirt,38.13,4,0.09,0,138.79
O102547,2023-03-03,C1046,India,Electronics,Laptop,1051.38,4,0.09,0,3827.02
O101257,2023-03-03,C1335,Germany,Grocery,Cereal,27.29,2,0.1,0,49.12
O100585,2023-03-04,C1967,UK,Beauty,Shampoo,67.36,2,0.0,0,134.72
O102713,2023-03-04,C1581,USA,Electronics,Laptop,645.12,2,0.03,0,1251.53
